eid,eulerLeft,eulerRight,site
sub-NDARFW972KFQ,146,102,Site-RU
sub-NDARFX455JFY,79,82,Site-RU
sub-NDARFX710UZA,98,60,Site-RU
sub-NDARGA048BD8,63,73,Site-RU
sub-NDARGA056TMW,231,280,Site-RU
sub-NDARGA346NA7,80,79,Site-RU
sub-NDARGA499CKF,487,497,Site-RU
sub-NDARGA507DCC,22,22,Site-RU
sub-NDARGA815EUZ,131,109,Site-RU
sub-NDARGB040MGR,21,20,Site-RU
sub-NDARGB441VVD,23,20,Site-RU
sub-NDARGD425PTN,42,56,Site-RU
sub-NDARGD507TDZ,221,238,Site-RU
sub-NDARGE536BGD,16,21,Site-RU
sub-NDARGE946RCB,50,59,Site-RU
sub-NDARGF367KVL,154,143,Site-RU
sub-NDARGG205WVN,62,66,Site-RU
sub-NDARGG539YGN,275,232,Site-RU
sub-NDARGH074MU6,34,30,Site-RU
sub-NDARGH634ME7,422,441,Site-RU
sub-NDARGH775KF5,42,26,Site-RU
sub-NDARGH790CEF,50,48,Site-RU
sub-NDARGJ395FKP,43,19,Site-RU
sub-NDARGK041TPB,48,33,Site-RU
sub-NDARGK672URV,38,20,Site-RU
sub-NDARGK736HF4,33,25,Site-RU
sub-NDARGK943RL3,16,16,Site-RU
sub-NDARGL936KTV,88,97,Site-RU
sub-NDARGN044FE4,50,36,Site-RU
sub-NDARGR354WBH,86,141,Site-RU
sub-NDARGT267UZR,290,317,Site-RU
sub-NDARGT551AFK,31,23,Site-RU
sub-NDARGT682ZWN,122,79,Site-RU
sub-NDARGU100JH4,340,344,Site-RU
sub-NDARGU395RFP,464,453,Site-RU
sub-NDARGU729WUR,268,271,Site-RU
sub-NDARGV781AMW,29,26,Site-RU
sub-NDARGV948BFZ,71,45,Site-RU
sub-NDARGW404GJL,317,250,Site-RU
sub-NDARGX443CEU,27,23,Site-RU
sub-NDARGX760NYV,34,29,Site-RU
sub-NDARGY622NG6,51,50,Site-RU
sub-NDARGZ038DRL,358,414,Site-RU
sub-NDARGZ361JJ9,143,146,Site-RU
sub-NDARHA387FPM,32,46,Site-RU
sub-NDARHB689WH7,142,142,Site-RU
sub-NDARHB764VZ2,68,45,Site-RU
sub-NDARHC453LC1,138,104,Site-RU
sub-NDARHC462NGR,19,11,Site-RU
sub-NDARHC737MHK,118,54,Site-RU
sub-NDARHD507TEF,146,75,Site-RU
sub-NDARHE283KZN,32,25,Site-RU
sub-NDARHF150FDY,24,34,Site-RU
sub-NDARHF351AA6,271,252,Site-RU
sub-NDARHF545HFW,69,67,Site-RU
sub-NDARHG065YHQ,17,16,Site-RU
sub-NDARHG152GZC,11,8,Site-RU
sub-NDARHG294AFG,598,766,Site-RU
sub-NDARHG321LLD,183,148,Site-RU
sub-NDARHJ034LDM,46,54,Site-RU
sub-NDARHJ945PV0,131,127,Site-RU
sub-NDARHK526BY1,46,43,Site-RU
sub-NDARHL164JHH,30,22,Site-RU
sub-NDARHL684WYU,326,232,Site-RU
sub-NDARHM413HVA,178,113,Site-RU
sub-NDARHM421JUP,221,243,Site-RU
sub-NDARHM611GDR,93,51,Site-RU
sub-NDARHN067BTE,170,133,Site-RU
sub-NDARHN158DC6,245,176,Site-RU
sub-NDARHN749RW4,335,271,Site-RU
sub-NDARHP841RMR,21,20,Site-RU
sub-NDARHP924ZHW,381,298,Site-RU
sub-NDARHR099EWX,533,488,Site-RU
sub-NDARHR140GMB,53,43,Site-RU
sub-NDARHR372GJ7,27,19,Site-RU
sub-NDARHR753ZKU,77,36,Site-RU
sub-NDARHT095YB4,293,255,Site-RU
sub-NDARHT829KKB,46,28,Site-RU
sub-NDARHT844LZR,64,32,Site-RU
sub-NDARHU391FD7,148,195,Site-RU
sub-NDARHV527DNK,119,76,Site-RU
sub-NDARHW718DTW,67,53,Site-RU
sub-NDARHX418ZGJ,100,70,Site-RU
sub-NDARHY177LY9,154,134,Site-RU
sub-NDARHZ255RA6,183,153,Site-RU
sub-NDARHZ923PAH,23,12,Site-RU
sub-NDARJ257ZU2,30,26,Site-RU
sub-NDARJA157YB3,110,125,Site-RU
sub-NDARJB027GMR,325,292,Site-RU
sub-NDARJB233RL7,48,39,Site-RU
sub-NDARJB355YHK,46,29,Site-RU
sub-NDARJB366HYJ,177,168,Site-RU
sub-NDARJD235KZA,117,93,Site-RU
sub-NDARJE070PLA,363,430,Site-RU
sub-NDARJE686DJL,61,51,Site-RU
sub-NDARJF755DT9,148,143,Site-RU
sub-NDARJG298YVA,50,38,Site-RU
sub-NDARJG300HWH,850,752,Site-RU
sub-NDARJG488XHT,210,192,Site-RU
sub-NDARJG687YYX,62,51,Site-RU
sub-NDARJG740PM8,23,15,Site-RU
sub-NDARJG821GH3,67,49,Site-RU
sub-NDARJH367WKY,15,14,Site-RU
